ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
Good Design,1950,moma.org/calendar/exhibitions/1714,Hermann Gretsch,German,1895,1950,Male,moma.org/artists/2334
Good Design,1950,moma.org/calendar/exhibitions/1714,"John Hays Hammond, Jr.",American,1888,1965,Male,moma.org/artists/2485
Good Design,1950,moma.org/calendar/exhibitions/1714,Edith Heath,American,1911,2005,Female,moma.org/artists/2565
Good Design,1950,moma.org/calendar/exhibitions/1714,Walter T. Heintze,,,,,moma.org/artists/64200
Good Design,1950,moma.org/calendar/exhibitions/1714,Frances Higgins,,,,,moma.org/artists/64201
Good Design,1950,moma.org/calendar/exhibitions/1714,Michael Higgins,,,,,moma.org/artists/64202
Good Design,1950,moma.org/calendar/exhibitions/1714,Richard Hudson,American,,,Male,moma.org/artists/2748
Good Design,1950,moma.org/calendar/exhibitions/1714,Finn Juhl,Danish,1912,1989,Male,moma.org/artists/2949
Good Design,1950,moma.org/calendar/exhibitions/1714,Tammis Keefe,,,,,moma.org/artists/64181
Good Design,1950,moma.org/calendar/exhibitions/1714,György Kepes,American,1906,2001,Male,moma.org/artists/3067
Good Design,1950,moma.org/calendar/exhibitions/1714,Juliet Kepes,American,,,Female,moma.org/artists/3068
Good Design,1950,moma.org/calendar/exhibitions/1714,Donald R. Knorr,American,1922,,Male,moma.org/artists/3165
Good Design,1950,moma.org/calendar/exhibitions/1714,Ray Komai,American,1918,,Male,moma.org/artists/3202
Good Design,1950,moma.org/calendar/exhibitions/1714,William M.C. Lam,,,,,moma.org/artists/61697
Good Design,1950,moma.org/calendar/exhibitions/1714,Ed E. Langbein,American,,,Male,moma.org/artists/3372
Good Design,1950,moma.org/calendar/exhibitions/1714,Axel Larsson,,,,,moma.org/artists/61689
Good Design,1950,moma.org/calendar/exhibitions/1714,Dorothy Liebes,American,1899,1972,Female,moma.org/artists/7344
Good Design,1950,moma.org/calendar/exhibitions/1714,Stig Lindberg,Swedish,1916,1982,Male,moma.org/artists/3555
Good Design,1950,moma.org/calendar/exhibitions/1714,Luntz Joan,,,,,moma.org/artists/64212
Good Design,1950,moma.org/calendar/exhibitions/1714,Alvin Lustig,American,1915,1955,Male,moma.org/artists/10328
Good Design,1950,moma.org/calendar/exhibitions/1714,William Machado,,,,,moma.org/artists/66143
Good Design,1950,moma.org/calendar/exhibitions/1714,Greta Magnusson Grossman,American,1906,1999,Female,moma.org/artists/3691
Good Design,1950,moma.org/calendar/exhibitions/1714,Leo J. Mahsoud,,,,,moma.org/artists/64190
Good Design,1950,moma.org/calendar/exhibitions/1714,Mark Maynard,,,,,moma.org/artists/62385
Good Design,1950,moma.org/calendar/exhibitions/1714,Joseph McCobb,,,,,moma.org/artists/61696
Good Design,1950,moma.org/calendar/exhibitions/1714,Paul McCobb,American,1917,1969,Male,moma.org/artists/64309
Good Design,1950,moma.org/calendar/exhibitions/1714,Charles H. McCrea,American,,,Male,moma.org/artists/3877
Good Design,1950,moma.org/calendar/exhibitions/1714,George Meek,,,,,moma.org/artists/62401
Good Design,1950,moma.org/calendar/exhibitions/1714,Svend Middelboe,,,,,moma.org/artists/64226
Good Design,1950,moma.org/calendar/exhibitions/1714,Sy Miller,,,,,moma.org/artists/64194
Good Design,1950,moma.org/calendar/exhibitions/1714,Carl Molin,,,,,moma.org/artists/66320
Good Design,1950,moma.org/calendar/exhibitions/1714,Peter Müller-Munk,American,1904,1967,Male,moma.org/artists/4156
Good Design,1950,moma.org/calendar/exhibitions/1714,Minnie Negoro,,,,,moma.org/artists/64339
Good Design,1950,moma.org/calendar/exhibitions/1714,George Nelson,American,1908,1986,Male,moma.org/artists/4257
